menu_provider_key,menu_provider_label,provider_key,fornitore,commodity,tipo_prezzo,nome_offerta,codice_offerta,data_inizio,data_fine,prezzo_calcolo,quota_fissa_calcolo,azione,motivi,url_offerta,fonte,score
"eon","E.ON","eon","E.ON Energia","luce","fisso","E.ON Luce Tua Per 24","000362ESFML01XXZL16S2D000000B000","19/06/2026_00:00:00","02/07/2026_23:59:59","0.1459","121.2311","pronta_fisso","prezzo fisso domestico leggibile","https://www.eon-energia.com/informazioni-utili/delibera-arera-di-prima-attuazione-dl-bollette.html","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.864"
"eon","E.ON","eon","E.ON Energia","luce","fisso","E.ON Luce - Amico new","000362ESFML01XXLS16S2DA00000A000","19/06/2026_00:00:00","02/07/2026_23:59:59","0.1651","121.2311","pronta_fisso","prezzo fisso domestico leggibile","https://www.eon-energia.com/informazioni-utili/delibera-arera-di-prima-attuazione-dl-bollette.html","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.862"
"edison","Edison","edison","Edison Energia","luce","fisso","Edison 5xTe Luce km0","000190ESFML01XXLE5XTEX001X1XXXX5","07/05/2026_00:00:00","30/06/2026_23:59:59","0.099","132","pronta_fisso","prezzo fisso domestico leggibile","https://www.edisonenergia.it/edison/impianti","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.858"
"a2a","A2A Energia","a2a","A2A Energia","luce","fisso","A2A Full Luce","000294ESFML01XXA2AFullD260632218","15/06/2026_00:00:00","06/07/2026_23:59:59","0.139","135","pronta_fisso","prezzo fisso domestico leggibile","https://casa.a2aenergia.eu/a2a-full","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.851"
"a2a","A2A Energia","a2a","A2A Energia","luce","fisso","A2A Full Luce","000294ESFML01XXA2AFullD260632227","15/06/2026_00:00:00","06/07/2026_23:59:59","0.139","135","pronta_fisso","prezzo fisso domestico leggibile","https://casa.a2aenergia.eu/a2a-full","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.851"
"enel","Enel Energia","enel","Enel Energia","luce","fisso","Enel Digital Luce","000142ESFML01XXResECAn0000115835","12/06/2026_20:15:00","25/06/2026_23:59:59","0.108","144","pronta_fisso","prezzo fisso domestico leggibile","https://www.enel.it/it-it/offerte-luce/enel-digital-luce","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.845"
"eni","Eni Plenitude","eni","Eni Plenitude","luce","fisso","Fixa Time 24 Luce","026160ESFML49XXLFIXA24VBAS160626","16/06/2026_00:00:01","29/06/2026_23:59:59","0.1234","144","pronta_fisso","prezzo fisso domestico leggibile","https://eniplenitude.com/offerta/casa/gas-e-luce/fixa-time","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.844"
"illum","Illumia","illum","Illumia","luce","fisso","Energia Lunga Luce","000155ESFML05XXZZ03839Z260611E01","11/06/2026_00:00:00","10/07/2026_23:59:59","0.117997","144","pronta_fisso","prezzo fisso domestico leggibile","https://www.illumia.it/casa/luce/energia-lunga-luce/","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.844"
"illum","Illumia","illum","Illumia","luce","fisso","Energia Lunga Luce Easy","000155ESFML08XXZZ03843Z260611E01","11/06/2026_00:00:00","10/07/2026_23:59:59","0.117997","144","pronta_fisso","prezzo fisso domestico leggibile","https://www.illumia.it/casa/luce/energia-lunga-luce-easy/","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.844"
"illum","Illumia","illum","Illumia","luce","fisso","Energia Lunghissima Luce","000155DSFML03XXZZ05103Z260611E01","11/06/2026_00:00:00","10/07/2026_23:59:59","0.117997","144","pronta_fisso","prezzo fisso domestico leggibile","https://www.illumia.it/casa/luce-gas/energia-lunghissima-luce-gas-bianca","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.844"
"pulsee","Pulsee Luce e Gas","pulsee","Pulsee Luce e Gas","luce","fisso","Pulsee Luce e Gas RELAX Fix - P 36 mesi","040505ESFML06XXPULSEEFIX77372606","23/06/2026_12:00:00","30/06/2026_11:59:59","0.11599","144","pronta_fisso","prezzo fisso domestico leggibile","https://pulsee.it/offerte-casa-luce-gas","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.844"
